,MSA,Code,County_State
548,"843,""31540",55049,"Iowa County, WI"
549,"845,""31700",33011,"Hillsborough County, NH"
550,"847,""31900",39139,"Richland County, OH"
551,"849,""32420",72067,"Hormigueros Municipio, PR"
552,"850,""32420",72097,"Mayagüez Municipio, PR"
553,"852,""32580",48215,"Hidalgo County, TX"
554,"854,""32780",41029,"Jackson County, OR"
555,"856,""32820",05035,"Crittenden County, AR"
556,"857,""32820",28033,"DeSoto County, MS"
557,"858,""32820",28093,"Marshall County, MS"
558,"859,""32820",28137,"Tate County, MS"
559,"860,""32820",28143,"Tunica County, MS"
560,"861,""32820",47047,"Fayette County, TN"
561,"862,""32820",47157,"Shelby County, TN"
562,"863,""32820",47167,"Tipton County, TN"
563,"865,""32900",06047,"Merced County, CA"
564,"874,""33140",18091,"LaPorte County, IN"
565,"876,""33260",48329,"Midland County, TX"
566,"878,""33340",55079,"Milwaukee County, WI"
567,"879,""33340",55089,"Ozaukee County, WI"
568,"880,""33340",55131,"Washington County, WI"
569,"881,""33340",55133,"Waukesha County, WI"
570,"883,""33460",27003,"Anoka County, MN"
571,"884,""33460",27019,"Carver County, MN"
572,"885,""33460",27025,"Chisago County, MN"
573,"886,""33460",27037,"Dakota County, MN"
574,"887,""33460",27053,"Hennepin County, MN"
575,"888,""33460",27059,"Isanti County, MN"
576,"889,""33460",27123,"Ramsey County, MN"
577,"890,""33460",27139,"Scott County, MN"
578,"891,""33460",27141,"Sherburne County, MN"
579,"892,""33460",27163,"Washington County, MN"
580,"893,""33460",27171,"Wright County, MN"
581,"894,""33460",55093,"Pierce County, WI"
582,"897,""33540",30063,"Missoula County, MT"
583,"899,""33660",01097,"Mobile County, AL"
584,"901,""33700",06099,"Stanislaus County, CA"
585,"903,""33740",22073,"Ouachita Parish, LA"
586,"904,""33740",22111,"Union Parish, LA"
587,"906,""33780",26115,"Monroe County, MI"
588,"908,""33860",01001,"Autauga County, AL"
589,"909,""33860",01051,"Elmore County, AL"
590,"910,""33860",01085,"Lowndes County, AL"
591,"911,""33860",01101,"Montgomery County, AL"
592,"913,""34060",54061,"Monongalia County, WV"
593,"914,""34060",54077,"Preston County, WV"
594,"916,""34100",47057,"Grainger County, TN"
595,"917,""34100",47063,"Hamblen County, TN"
596,"918,""34100",47089,"Jefferson County, TN"
597,"920,""34580",53057,"Skagit County, WA"
598,"922,""34620",18035,"Delaware County, IN"
599,"924,""34740",26121,"Muskegon County, MI"
600,"926,""34820",45051,"Horry County, SC"
601,"928,""34900",06055,"Napa County, CA"
