,MSA,MSA_Name
265,3894,"                  Port St. Lucie-Fort Pierce, FL Metropolitan Statistical Area
"
266,3910,"                  Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area
"
267,3914,"                  Prescott, AZ Metropolitan Statistical Area
"
268,3930,"                  Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area
"
269,3934,"                  Provo-Orem, UT Metropolitan Statistical Area
"
270,3938,"                  Pueblo, CO Metropolitan Statistical Area
"
271,3946,"                  Punta Gorda, FL Metropolitan Statistical Area
"
272,3954,"                  Racine, WI Metropolitan Statistical Area
"
273,3958,"                  Raleigh-Cary, NC Metropolitan Statistical Area
"
274,3966,"                  Rapid City, SD Metropolitan Statistical Area
"
275,3974,"                  Reading, PA Metropolitan Statistical Area
"
276,3982,"                  Redding, CA Metropolitan Statistical Area
"
277,3990,"                  Reno-Sparks, NV Metropolitan Statistical Area
"
278,4006,"                  Richmond, VA Metropolitan Statistical Area
"
279,4014,"                  Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area
"
280,4022,"                  Roanoke, VA Metropolitan Statistical Area
"
281,4034,"                  Rochester, MN Metropolitan Statistical Area
"
282,4038,"                  Rochester, NY Metropolitan Statistical Area
"
283,4042,"                  Rockford, IL Metropolitan Statistical Area
"
284,4058,"                  Rocky Mount, NC Metropolitan Statistical Area
"
285,4066,"                  Rome, GA Metropolitan Statistical Area
"
286,4090,"                  Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area
"
287,4098,"                  Saginaw-Saginaw Township North, MI Metropolitan Statistical Area
"
288,4106,"                  St. Cloud, MN Metropolitan Statistical Area
"
289,4110,"                  St. George, UT Metropolitan Statistical Area
"
290,4114,"                  St. Joseph, MO-KS Metropolitan Statistical Area
"
291,4118,"                  St. Louis, MO-IL Metropolitan Statistical Area
"
292,4142,"                  Salem, OR Metropolitan Statistical Area
"
293,4150,"                  Salinas, CA Metropolitan Statistical Area
"
294,4154,"                  Salisbury, MD Metropolitan Statistical Area
"
295,4162,"                  Salt Lake City, UT Metropolitan Statistical Area
"
296,4166,"                  San Angelo, TX Metropolitan Statistical Area
"
297,4170,"                  San Antonio, TX Metropolitan Statistical Area
"
298,4174,"                  San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area
"
299,4178,"                  Sandusky, OH Metropolitan Statistical Area
"
300,4186,"                  San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area
"
301,4190,"                  San Germán-Cabo Rojo, PR Metropolitan Statistical Area
"
302,4194,"                  San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area
"
303,4198,"                  San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area
"
304,4202,"                  San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area
"
305,4206,"                  Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area
"
306,4210,"                  Santa Cruz-Watsonville, CA Metropolitan Statistical Area
"
307,4214,"                  Santa Fe, NM Metropolitan Statistical Area
"
308,4222,"                  Santa Rosa-Petaluma, CA Metropolitan Statistical Area
"
309,4226,"                  Sarasota-Bradenton-Venice, FL Metropolitan Statistical Area
"
310,4234,"                  Savannah, GA Metropolitan Statistical Area
"
311,4254,"                  Scranton--Wilkes-Barre, PA Metropolitan Statistical Area
"
312,4266,"                  Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area
"
313,4310,"                  Sheboygan, WI Metropolitan Statistical Area
"
314,4330,"                  Sherman-Denison, TX Metropolitan Statistical Area
"
315,4334,"                  Shreveport-Bossier City, LA Metropolitan Statistical Area
"
316,4358,"                  Sioux City, IA-NE-SD Metropolitan Statistical Area
"
317,4362,"                  Sioux Falls, SD Metropolitan Statistical Area
"
318,4378,"                  South Bend-Mishawaka, IN-MI Metropolitan Statistical Area
"
319,4390,"                  Spartanburg, SC Metropolitan Statistical Area
"
320,4406,"                  Spokane, WA Metropolitan Statistical Area
"
321,4410,"                  Springfield, IL Metropolitan Statistical Area
"
322,4414,"                  Springfield, MA Metropolitan Statistical Area
"
323,4418,"                  Springfield, MO Metropolitan Statistical Area
"
324,4422,"                  Springfield, OH Metropolitan Statistical Area
"
325,4430,"                  State College, PA Metropolitan Statistical Area
"
326,4470,"                  Stockton, CA Metropolitan Statistical Area
"
327,4494,"                  Sumter, SC Metropolitan Statistical Area
"
328,4506,"                  Syracuse, NY Metropolitan Statistical Area
"
329,4522,"                  Tallahassee, FL Metropolitan Statistical Area
"
330,4530,"                  Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area
"
331,4546,"                  Terre Haute, IN Metropolitan Statistical Area
"
332,4550,"                  Texarkana, TX-Texarkana, AR Metropolitan Statistical Area
"
333,4578,"                  Toledo, OH Metropolitan Statistical Area
"
334,4582,"                  Topeka, KS Metropolitan Statistical Area
"
335,4594,"                  Trenton-Ewing, NJ Metropolitan Statistical Area
"
336,4606,"                  Tucson, AZ Metropolitan Statistical Area
"
337,4614,"                  Tulsa, OK Metropolitan Statistical Area
"
338,4622,"                  Tuscaloosa, AL Metropolitan Statistical Area
"
339,4634,"                  Tyler, TX Metropolitan Statistical Area
"
340,4654,"                  Utica-Rome, NY Metropolitan Statistical Area
"
341,4666,"                  Valdosta, GA Metropolitan Statistical Area
"
342,4670,"                  Vallejo-Fairfield, CA Metropolitan Statistical Area
"
343,4694,"                  Vero Beach, FL Metropolitan Statistical Area
"
344,4702,"                  Victoria, TX Metropolitan Statistical Area
"
345,4722,"                  Vineland-Millville-Bridgeton, NJ Metropolitan Statistical Area
"
346,4726,"                  Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area
"
347,4730,"                  Visalia-Porterville, CA Metropolitan Statistical Area
"
348,4738,"                  Waco, TX Metropolitan Statistical Area
"
349,4758,"                  Warner Robins, GA Metropolitan Statistical Area
"
350,4790,"                  Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area
"
351,4794,"                  Waterloo-Cedar Falls, IA Metropolitan Statistical Area
"
352,4814,"                  Wausau, WI Metropolitan Statistical Area
"
353,4826,"                  Weirton-Steubenville, WV-OH Metropolitan Statistical Area
"
354,4830,"                  Wenatchee, WA Metropolitan Statistical Area
"
355,4854,"                  Wheeling, WV-OH Metropolitan Statistical Area
"
356,4862,"                  Wichita, KS Metropolitan Statistical Area
"
357,4866,"                  Wichita Falls, TX Metropolitan Statistical Area
"
358,4870,"                  Williamsport, PA Metropolitan Statistical Area
"
359,4890,"                  Wilmington, NC Metropolitan Statistical Area
"
360,4902,"                  Winchester, VA-WV Metropolitan Statistical Area
"
361,4918,"                  Winston-Salem, NC Metropolitan Statistical Area
"
362,4934,"                  Worcester, MA Metropolitan Statistical Area
"
363,4942,"                  Yakima, WA Metropolitan Statistical Area
"
364,4950,"                  Yauco, PR Metropolitan Statistical Area
"
365,4962,"                  York-Hanover, PA Metropolitan Statistical Area
"
366,4966,"                  Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area
"
367,4970,"                  Yuba City, CA Metropolitan Statistical Area
"
368,4974,"                  Yuma, AZ Metropolitan Statistical Area"
